Name,Born,Died,Nationality,Age_death
Ludwig van Beethoven,1770,1827,German,57
Ferdinando Carulli,1770,1841,Italian,71
Édouard Du Puy,1770,1822,Swiss,52
Peter Hänsel,1770,1831,German-Austrian,61
James Hewitt,1770,1827,American,57
Anton Reicha,1770,1836,Czech-French,66
Christian Heinrich Rinck,1770,1846,German,76
Jan August Vitásek,1770,1839,Bohemian,69
Friedrich Witt,1770,1836,German,66
Johann Baptist Cramer,1771,1858,English,87
Ferdinando Paer,1771,1839,Italian,68
Maria Frances Parke,1772,1822,English,50
François-Louis Perne,1772,1832,French,60
Josef Triebensee,1772,1846,Bohemian,74
Johann Wilhelm Wilms,1772,1847,Dutch-German,75
Sophie Bawr,1773,1860,French,87
Pietro Generali,1773,1832,Italian,59
Václav Tomáš Matějka,1773,1830,Czech,57
Bartolomeo Bortolazzi,1773,1820,Italian,47
Pierre Rode,1774,1830,French,56
Gaspare Spontini,1774,1851,Italian,77
Václav Tomášek,1774,1850,Czech,76
Christoph Ernst Friedrich Weyse,1774,1842,Danish,68
Johann Anton André,1775,1842,German,67
François-Adrien Boieldieu,1775,1834,French,59
João Domingos Bomtempo,1775,1842,Portuguese,67
Bernhard Crusell,1775,1838,Finnish,63
Sophia Dussek,1775,1847,Scottish,72
François de Fossa,1775,1849,French,74
Ernst Theodor Amadeus Hoffmann,1776,1822,German,46
Joseph Küffner,1776,1856,German,80
Philipp Jakob Riotte,1776,1856,German,80
Ignaz von Seyfried,1776,1841,Austrian,65
Ludwig Berger,1777,1839,German,62
Pauline Duchambge,1778,1858,French,80
Johann Nepomuk Hummel,1778,1837,Austrian,59
Sigismund von Neukomm,1778,1858,Austrian,80
Fernando Sor,1778,1839,Spanish,61
William Knyvett,1779,1856,British,77
Louise Reichardt,1779,1826,German,47
Luigi Antonio Calegari,1780,1849,Italian,69
Conradin Kreutzer,1780,1849,German,69
Louis François Dauprat,1781,1868,French,87
Anton Diabelli,1781,1858,Austrian,77
Mauro Giuliani,1781,1828,Italian,47
Anthony Heinrich,1781,1861,American,80
Sophie Lebrun,1781,1863,German,82
François Joseph Naderman,1781,1835,French,54
Daniel Auber,1782,1871,French,89
Carlo Coccia,1782,1873,Italian,91
John Field,1782,1837,Irish,55
Niccolò Paganini,1782,1840,Italian,58
Charlotta Seuerling,1782,1828,Swedish,46
Friedrich Dotzauer,1783,1860,German,77
Teresa Belloc-Giorgi,1784,1855,Italian,71
Martin-Joseph Mengal,1784,1851,Belgian,67
Francesco Morlacchi,1784,1841,Italian,57
George Onslow,1784,1853,Anglo-French,69
Ferdinand Ries,1784,1838,German,54
Louis Spohr,1784,1859,German,75
Alexandre Pierre François Boëly,1785,1858,French,73
Bettina von Arnim,1785,1859,German,74
Catherina Cibbini-Kozeluch,1785,1858,Austrian,73
Isabella Colbran,1785,1845,Spanish,60
Karol Kurpiński,1785,1857,Polish,72
Marie Bigot,1785,1820,French,35
Henry Bishop,1786,1855,English,69
Friedrich Kuhlau,1786,1832,German-Danish,46
Pietro Raimondi,1786,1853,Italian,67
Carl Maria von Weber,1786,1826,German,40
Alexander Alyabyev,1787,1851,Russian,64
Michele Carafa,1787,1872,Italian,85
Johann Peter Pixis,1788,1874,German,86
Simon Sechter,1788,1867,Austrian,79
Elena Asachi,1789,1877,Romanian,88
Nicolas-Charles Bochsa,1789,1856,French,67
Friedrich Ernst Fesca,1789,1826,German,37
Maria Agata Szymanowska,1789,1831,Polish,42
Harriet Browne,1790,1858,English,68
Isaac Nathan,1790,1864,Anglo-Australian,74
Carl Czerny,1791,1857,Austrian,66
Ferdinand Hérold,1791,1833,French,42
Giacomo Meyerbeer,1791,1864,German,73
Franz Xaver Wolfgang Mozart,1791,1844,Austrian,53
Carlo Evasio Soliva,1791,1853,Swiss-Italian,62
Jan Václav Voříšek,1791,1825,Czech,34
Gioachino Rossini,1792,1868,Italian,76
Hedda Wrangel,1792,1833,Swedish,41
Cipriani Potter,1792,1871,English,79
Gertrude van den Bergh,1793,1840,Dutch,47
Bernhard Klein,1793,1832,German,39
Caroline Ridderstolpe,1793,1878,Swedish,85
Princess Amalie of Saxony,1794,1870,German,76
Ignaz Moscheles,1794,1870,Czech,76
Heinrich Marschner,1795,1861,German,66
Saverio Mercadante,1795,1870,Italian,75
Nikolaos Mantzaros,1795,1872,Italian-Greek,77
Franz Berwald,1796,1868,Swedish,72
Helene Liebmann,1796,1835,German,39
Carl Loewe,1796,1869,German,73
Mathilda d'Orozco,1796,1863,Swedish,67
Giovanni Pacini,1796,1867,Italian,71
Emilie Zumsteeg,1796,1857,German,61
Luigi Castellacci,1797,1845,Italian,48
Gaetano Donizetti,1797,1848,Italian,51
Franz Schubert,1797,1828,Austrian,31
Annette von Droste-Hülshoff,1797,1848,German,51
Antonio Rolla,1798,1837,Italian,39
Olivia Buckley,1799,1847,English,48
Maria Fredrica von Stedingk,1799,1868,Swedish,69
Fromental Halévy,1799,1862,French,63
Oscar I of Sweden,1799,1859,Swedish,60
Vincenzo Bellini,1801,1835,Italian,34
Tomasz Padura,1801,1871,Ukrainian-Polish,70
Jean-Baptiste Duvernoy,1802,1880,French,78
Amédée Méreaux,1802,1874,French,72
Cesare Pugni,1802,1870,Italian,68
Eliza Flower,1803,1846,English,43
Adolphe Adam,1803,1856,French,53
Hector Berlioz,1803,1869,French,66
Henri Herz,1803,1888,Austrian,85
Franz Lachner,1803,1890,German,87
Louise Farrenc,1804,1875,French,71
Mikhail Glinka,1804,1857,Russian,53
Johann Strauss I,1804,1849,Austrian,45
Fanny Mendelssohn,1805,1847,German,42
Leopold von Zenetti,1805,1892,Austrian,87
Napoléon Coste,1805,1883,French,78
Juan Crisóstomo Arriaga,1806,1826,Spanish,20
Johann Kaspar Mertz,1806,1856,Hungarian,50
Friedrich Burgmüller,1806,1874,German,68
Carlo Curti,1807,1872,Italian,65
Ignaz Lachner,1807,1895,German,88
Michael William Balfe,1808,1870,Irish,62
Sebastián Iradier,1809,1865,Spanish,56
Felix Mendelssohn,1809,1847,German,38
Otto Lindblad,1809,1864,Swedish,55
Frédéric Chopin,1810,1849,Polish,39
Ferenc Erkel,1810,1893,Hungarian,83
Otto Nicolai,1810,1849,German,39
Norbert Burgmüller,1810,1836,German,26
Robert Schumann,1810,1856,German,46
Ludwig Schuncke,1810,1834,German,24
Ferdinand David,1810,1873,German,63
Vinzenz Lachner,1811,1893,German,82
Franz Liszt,1811,1886,Hungarian,75
Ferdinand Hiller,1811,1885,German,74
Wilhelm Taubert,1811,1891,German,80
Ambroise Thomas,1811,1896,French,85
Spyridon Xyndas,1812,1896,Greek,84
Sigismond Thalberg,1812,1871,Austrian,59
Louis-Antoine Jullien,1812,1860,French,48
Emilie Mayer,1812,1883,German,71
Friedrich von Flotow,1812,1883,German,71
Alexandre Dubuque,1812,1898,Russian-French,86
Johann Rufinatscha,1812,1893,Austrian,81
Alexander Dargomyzhsky,1813,1869,Russian,56
Semen Hulak-Artemovsky,1813,1873,Ukrainian,60
George Alexander Macfarren,1813,1887,English,74
Stephen Heller,1813,1888,Hungarian,75
Richard Wagner,1813,1883,German,70
Ernst Haberbier,1813,1869,German,56
Giuseppe Verdi,1813,1901,Italian,88
Charles-Valentin Alkan,1813,1888,French,75
Andonios Liveralis,1814,1842,Greek,28
Giuseppe Lillo,1814,1863,Italian,49
Adolf von Henselt,1814,1889,German,75
Josephine Lang,1815,1880,German,65
Ferdinand Praeger,1815,1891,German,76
Robert Volkmann,1815,1883,German,68
Józef Władysław Krogulski,1815,1842,Polish,27
William Sterndale Bennett,1816,1875,English,59
Charles Dancla,1817,1907,French,90
Émile Prudent,1817,1863,French,46
