box,week,date,temp,food,male,female,unknown,total,sex ratio
1,1,01/07/14,27,good,16,19,0,35,84.21
2,1,01/07/14,27,bad,12,20,0,32,60
3,1,01/07/14,30,good,13,19,0,32,68.42
4,1,01/07/14,30,bad,16,18,0,34,88.89
5,1,01/07/14,33,good,15,16,0,31,93.75
6,1,01/07/14,33,bad,17,19,0,36,89.47
7,1,01/07/14,27,good,14,17,1,32,82.35
8,1,01/07/14,27,bad,18,16,0,34,112.5
9,1,01/07/14,30,good,13,13,0,26,100
10,1,01/07/14,30,bad,19,18,0,37,105.56
11,1,01/07/14,33,good,19,17,0,36,111.76
12,1,01/07/14,33,bad,17,17,0,34,100
13,1,01/07/14,27,good,10,17,0,27,58.82
14,1,01/07/14,27,bad,14,11,0,25,127.27
15,1,01/07/14,30,good,20,17,0,37,117.65
16,1,01/07/14,30,bad,19,20,0,39,95
17,1,01/07/14,33,good,18,18,0,36,100
18,1,01/07/14,33,bad,16,18,0,34,88.89
1,2,08/07/14,27,good,29,35,0,64,82.86
2,2,08/07/14,27,bad,6,1,0,7,600
3,2,08/07/14,30,good,33,27,1,61,122.22
4,2,08/07/14,30,bad,7,11,0,18,63.64
5,2,08/07/14,33,good,30,27,0,57,111.11
6,2,08/07/14,33,bad,18,12,0,30,150
7,2,08/07/14,27,good,37,29,0,66,127.59
8,2,08/07/14,27,bad,0,4,1,5,0
9,2,08/07/14,30,good,31,30,2,63,103.33
10,2,08/07/14,30,bad,12,7,0,19,171.43
11,2,08/07/14,33,good,26,19,0,45,136.84
12,2,08/07/14,33,bad,16,11,1,28,145.45
13,2,08/07/14,27,good,26,17,1,44,152.94
14,2,08/07/14,27,bad,2,2,0,4,100
15,2,08/07/14,30,good,29,32,1,62,90.63
16,2,08/07/14,30,bad,10,8,1,19,125
17,2,08/07/14,33,good,27,14,1,42,192.86
18,2,08/07/14,33,bad,16,7,0,23,228.57
1,3,15/07/14,27,good,0,1,0,1,0
2,3,15/07/14,27,bad,21,30,6,57,70
3,3,15/07/14,30,good,1,0,0,1,0
4,3,15/07/14,30,bad,6,15,6,27,40
5,3,15/07/14,33,good,0,1,1,2,0
6,3,15/07/14,33,bad,2,18,1,21,11.11
7,3,15/07/14,27,good,0,0,0,0,0
8,3,15/07/14,27,bad,10,24,7,41,41.67
9,3,15/07/14,30,good,1,2,0,3,50
10,3,15/07/14,30,bad,1,20,7,28,5
11,3,15/07/14,33,good,0,2,3,5,0
12,3,15/07/14,33,bad,4,13,1,18,30.77
13,3,15/07/14,27,good,4,10,1,15,40
14,3,15/07/14,27,bad,24,14,1,39,171.43
15,3,15/07/14,30,good,1,1,0,2,100
16,3,15/07/14,30,bad,1,17,6,24,5.88
17,3,15/07/14,33,good,0,5,1,6,0
18,3,15/07/14,33,bad,0,13,6,19,0
1,4,22/07/14,27,good,0,0,0,0,0
2,4,22/07/14,27,bad,0,0,0,0,0
3,4,22/07/14,30,good,0,0,0,0,0
4,4,22/07/14,30,bad,0,1,0,1,0
5,4,22/07/14,33,good,3,2,0,5,150
6,4,22/07/14,33,bad,1,1,0,2,100
7,4,22/07/14,27,good,0,0,0,0,0
8,4,22/07/14,27,bad,0,0,0,0,0
9,4,22/07/14,30,good,1,0,0,1,0
10,4,22/07/14,30,bad,0,1,0,1,0
11,4,22/07/14,33,good,0,0,0,0,0
12,4,22/07/14,33,bad,0,0,0,0,0
13,4,22/07/14,27,good,0,1,0,1,0
14,4,22/07/14,27,bad,19,15,0,34,126.67
15,4,22/07/14,30,good,0,0,0,0,0
16,4,22/07/14,30,bad,0,0,0,0,0
17,4,22/07/14,33,good,19,5,0,24,380
18,4,22/07/14,33,bad,0,0,0,0,0
1,5,29/07/14,27,good,110,153,15,278,71.9
2,5,29/07/14,27,bad,52,48,6,106,108.33
3,5,29/07/14,30,good,183,161,4,348,113.66
4,5,29/07/14,30,bad,240,141,7,388,170.21
5,5,29/07/14,33,good,207,111,4,322,186.49
6,5,29/07/14,33,bad,92,33,0,125,278.79
7,5,29/07/14,27,good,165,167,14,346,98.8
8,5,29/07/14,27,bad,86,54,17,157,159.26
9,5,29/07/14,30,good,143,122,3,268,117.21
10,5,29/07/14,30,bad,215,100,7,322,215
11,5,29/07/14,33,good,162,106,4,272,152.83
12,5,29/07/14,33,bad,43,7,0,50,614.29
13,5,29/07/14,27,good,78,98,2,178,79.59
14,5,29/07/14,27,bad,28,36,0,64,77.78
15,5,29/07/14,30,good,114,72,2,188,158.33
16,5,29/07/14,30,bad,261,174,33,468,150
17,5,29/07/14,33,good,146,126,3,275,115.87
18,5,29/07/14,33,bad,68,51,0,119,133.33
1,6,04/08/14,27,good,355,322,37,714,110.25
2,6,04/08/14,27,bad,182,109,4,295,166.97
3,6,04/08/14,30,good,259,225,21,505,115.11
4,6,04/08/14,30,bad,199,135,19,353,147.41
5,6,04/08/14,33,good,150,162,2,314,92.59
6,6,04/08/14,33,bad,30,41,1,72,73.17
7,6,04/08/14,27,good,286,318,135,739,89.94
8,6,04/08/14,27,bad,180,188,33,401,95.74
9,6,04/08/14,30,good,239,375,246,860,63.73
10,6,04/08/14,30,bad,183,171,21,375,107.02
11,6,04/08/14,33,good,57,89,0,146,64.04
12,6,04/08/14,33,bad,47,29,6,82,162.07
13,6,04/08/14,27,good,300,230,36,566,130.43
14,6,04/08/14,27,bad,138,108,11,257,127.78
15,6,04/08/14,30,good,375,325,71,771,115.38
16,6,04/08/14,30,bad,133,143,100,376,93.01
17,6,04/08/14,33,good,142,170,4,316,83.53
18,6,04/08/14,33,bad,49,71,0,120,69.01
1,7,11/08/14,27,good,84,139,69,292,60.43
2,7,11/08/14,27,bad,99,81,34,214,122.22
3,7,11/08/14,30,good,25,53,36,114,47.17
4,7,11/08/14,30,bad,69,72,17,158,95.83
5,7,11/08/14,33,good,62,89,3,154,69.66
6,7,11/08/14,33,bad,6,25,0,31,24
7,7,11/08/14,27,good,20,39,20,79,51.28
8,7,11/08/14,27,bad,180,242,43,465,74.38
9,7,11/08/14,30,good,12,21,49,82,57.14
10,7,11/08/14,30,bad,45,75,23,143,60
11,7,11/08/14,33,good,21,32,1,54,65.63
12,7,11/08/14,33,bad,20,41,2,63,48.78
13,7,11/08/14,27,good,25,35,32,92,71.43
14,7,11/08/14,27,bad,68,50,16,134,136
15,7,11/08/14,30,good,12,19,27,58,63.16
16,7,11/08/14,30,bad,75,119,39,233,63.03
17,7,11/08/14,33,good,30,66,2,98,45.45
18,7,11/08/14,33,bad,7,30,0,37,23.33
1,8,19/08/14,27,good,42,75,46,163,56
2,8,19/08/14,27,bad,22,41,10,73,53.66
3,8,19/08/14,30,good,5,8,11,24,62.5
4,8,19/08/14,30,bad,73,84,7,164,86.9
5,8,19/08/14,33,good,36,65,1,102,55.38
6,8,19/08/14,33,bad,3,5,1,9,60
7,8,19/08/14,27,good,8,23,9,40,34.78
8,8,19/08/14,27,bad,119,169,35,323,70.41
9,8,19/08/14,30,good,2,6,9,17,33.33
10,8,19/08/14,30,bad,31,35,9,75,88.57
11,8,19/08/14,33,good,8,19,1,28,42.11
12,8,19/08/14,33,bad,10,14,1,25,71.43
13,8,19/08/14,27,good,15,28,12,55,53.57
14,8,19/08/14,27,bad,81,70,12,163,115.71
15,8,19/08/14,30,good,8,19,18,45,42.11
16,8,19/08/14,30,bad,103,128,15,246,80.47
17,8,19/08/14,33,good,11,21,1,33,52.38
18,8,19/08/14,33,bad,4,11,1,16,36.36
1,9,26/08/14,27,good,46,118,18,182,38.98
2,9,26/08/14,27,bad,24,25,5,54,96
3,9,26/08/14,30,good,31,61,3,95,50.82
4,9,26/08/14,30,bad,51,67,8,126,76.12
5,9,26/08/14,33,good,58,61,4,123,95.08
6,9,26/08/14,33,bad,31,16,1,48,193.75
7,9,26/08/14,27,good,47,54,11,112,87.04
8,9,26/08/14,27,bad,22,31,1,54,70.97
9,9,26/08/14,30,good,10,36,8,54,27.78
10,9,26/08/14,30,bad,44,67,5,116,65.67
11,9,26/08/14,33,good,17,21,0,38,80.95
12,9,26/08/14,33,bad,32,10,3,45,320
13,9,26/08/14,27,good,30,58,13,101,51.72
14,9,26/08/14,27,bad,48,59,8,115,81.36
15,9,26/08/14,30,good,34,73,13,120,46.58
16,9,26/08/14,30,bad,43,72,10,125,59.72
17,9,26/08/14,33,good,8,3,1,12,266.67
18,9,26/08/14,33,bad,6,7,0,13,85.71
1,10,01/09/14,27,good,59,63,16,138,93.65
2,10,01/09/14,27,bad,55,61,1,117,90.16
3,10,01/09/14,30,good,52,70,5,127,74.29
4,10,01/09/14,30,bad,67,65,0,132,103.08
5,10,01/09/14,33,good,34,50,2,86,68
6,10,01/09/14,33,bad,8,27,0,35,29.63
7,10,01/09/14,27,good,52,56,7,115,92.86
8,10,01/09/14,27,bad,26,36,12,74,72.22
9,10,01/09/14,30,good,57,55,0,112,103.64
10,10,01/09/14,30,bad,83,68,1,152,122.06
11,10,01/09/14,33,good,2,10,1,13,20
12,10,01/09/14,33,bad,23,29,0,52,79.31
13,10,01/09/14,27,good,45,46,2,93,97.83
14,10,01/09/14,27,bad,62,80,6,148,77.5
15,10,01/09/14,30,good,70,85,6,161,82.35
16,10,01/09/14,30,bad,82,74,4,160,110.81
17,10,01/09/14,33,good,7,2,0,9,350
18,10,01/09/14,33,bad,0,1,0,1,0
1,11,08/09/14,27,good,40,37,7,84,108.11
2,11,08/09/14,27,bad,36,38,2,76,94.74
3,11,08/09/14,30,good,76,125,3,204,60.8
4,11,08/09/14,30,bad,46,55,5,106,83.64
5,11,08/09/14,33,good,21,27,0,48,77.78
6,11,08/09/14,33,bad,11,7,0,18,157.14
7,11,08/09/14,27,good,60,55,4,119,109.09
8,11,08/09/14,27,bad,51,34,0,85,150
9,11,08/09/14,30,good,52,50,4,106,104
10,11,08/09/14,30,bad,60,58,2,120,103.45
11,11,08/09/14,33,good,0,2,0,2,0
12,11,08/09/14,33,bad,22,29,0,51,75.86
13,11,08/09/14,27,good,49,61,0,110,80.33
14,11,08/09/14,27,bad,58,73,6,137,79.45
15,11,08/09/14,30,good,55,74,1,130,74.32
16,11,08/09/14,30,bad,31,26,4,61,119.23
17,11,08/09/14,33,good,2,3,0,5,66.67
18,11,08/09/14,33,bad,1,0,0,1,0
1,12,15/09/14,27,good,17,25,4,46,68
2,12,15/09/14,27,bad,11,18,0,29,61.11
3,12,15/09/14,30,good,56,63,0,119,88.89
4,12,15/09/14,30,bad,25,36,5,66,69.44
5,12,15/09/14,33,good,10,12,1,23,83.33
6,12,15/09/14,33,bad,12,18,1,31,66.67
7,12,15/09/14,27,good,28,40,3,71,70
8,12,15/09/14,27,bad,34,52,0,86,65.38
9,12,15/09/14,30,good,28,22,6,56,127.27
10,12,15/09/14,30,bad,23,30,0,53,76.67
11,12,15/09/14,33,good,0,1,0,1,0
12,12,15/09/14,33,bad,17,26,1,44,65.38
13,12,15/09/14,27,good,17,31,1,49,54.84
14,12,15/09/14,27,bad,42,43,5,90,97.67
15,12,15/09/14,30,good,37,25,4,66,148
16,12,15/09/14,30,bad,26,36,0,62,72.22
17,12,15/09/14,33,good,4,1,0,5,400
18,12,15/09/14,33,bad,0,0,0,0,0
1,13,22/09/14,27,good,20,40,1,61,50
2,13,22/09/14,27,bad,13,25,1,39,52
3,13,22/09/14,30,good,26,45,7,78,57.78
4,13,22/09/14,30,bad,30,41,1,72,73.17
5,13,22/09/14,33,good,22,12,0,34,183.33
6,13,22/09/14,33,bad,51,39,0,90,130.77
7,13,22/09/14,27,good,27,27,1,55,100
8,13,22/09/14,27,bad,28,30,3,1,93.33
9,13,22/09/14,30,good,18,15,1,34,120
10,13,22/09/14,30,bad,28,32,1,61,87.5
11,13,22/09/14,33,good,8,3,0,11,266.67
12,13,22/09/14,33,bad,14,18,0,32,77.78
13,13,22/09/14,27,good,29,36,1,66,80.56
14,13,22/09/14,27,bad,34,36,3,73,94.44
15,13,22/09/14,30,good,15,50,0,65,30
16,13,22/09/14,30,bad,35,47,2,2,74.47
17,13,22/09/14,33,good,0,1,0,1,0
18,13,22/09/14,33,bad,0,1,0,1,0
1,14,29/09/14,27,good,78,85,3,166,91.76
2,14,29/09/14,27,bad,43,58,2,103,74.14
3,14,29/09/14,30,good,35,79,4,118,44.3
4,14,29/09/14,30,bad,110,113,6,229,97.35
5,14,29/09/14,33,good,51,60,1,112,85
6,14,29/09/14,33,bad,30,49,4,3,61.22
7,14,29/09/14,27,good,51,91,3,145,56.04
8,14,29/09/14,27,bad,22,35,1,58,62.86
9,14,29/09/14,30,good,32,26,1,59,123.08
10,14,29/09/14,30,bad,64,64,1,129,100
11,14,29/09/14,33,good,2,10,0,12,20
12,14,29/09/14,33,bad,37,30,2,69,123.33
13,14,29/09/14,27,good,40,45,0,85,88.89
14,14,29/09/14,27,bad,41,56,3,4,73.21
15,14,29/09/14,30,good,44,67,2,113,65.67
16,14,29/09/14,30,bad,69,66,2,137,104.55
17,14,29/09/14,33,good,0,0,0,0,0
18,14,29/09/14,33,bad,0,1,0,1,0
1,15,06/10/14,27,good,20,22,4,46,90.91
2,15,06/10/14,27,bad,51,46,3,100,110.87
3,15,06/10/14,30,good,106,119,0,225,89.08
