box,date,number,temp,food,section removed,3rd,4th,5M,5F,Total
1,08/07/2014,1,27,good,1A,23,6,2,1,32
2,08/07/2014,1,27,bad,1A,54,6,0,0,60
3,08/07/2014,1,30,good,1A,26,21,9,3,59
4,08/07/2014,1,30,bad,1A,27,12,1,0,40
5,08/07/2014,1,33,good,1A,32,36,8,9,85
6,08/07/2014,1,33,bad,1A,6,5,1,2,14
7,08/07/2014,1,27,good,1A,56,31,12,4,103
8,08/07/2014,1,27,bad,1A,6,6,0,0,12
9,08/07/2014,1,30,good,1A,65,10,8,10,93
10,08/07/2014,1,30,bad,1A,30,9,4,1,44
11,08/07/2014,1,33,good,1A,21,18,3,11,53
12,08/07/2014,1,33,bad,1A,8,2,0,0,10
13,08/07/2014,1,27,good,1A,64,7,13,3,87
14,08/07/2014,1,27,bad,1A,24,3,1,1,29
15,08/07/2014,1,30,good,1A,84,45,12,17,158
16,08/07/2014,1,30,bad,1A,50,7,5,3,65
17,08/07/2014,1,33,good,1A,20,28,8,17,73
18,08/07/2014,1,33,bad,1A,5,2,0,0,7
1,15/07/2014,2,27,good,2B,109,51,57,36,253
2,15/07/2014,2,27,bad,2B,10,8,6,3,27
3,15/07/2014,2,30,good,2B,30,17,14,18,79
4,15/07/2014,2,30,bad,2B,14,16,2,2,34
5,15/07/2014,2,33,good,2B,14,12,19,21,66
6,15/07/2014,2,33,bad,2B,0,1,0,0,1
7,15/07/2014,2,27,good,2B,23,25,10,31,89
8,15/07/2014,2,27,bad,2B,18,9,10,5,42
9,15/07/2014,2,30,good,2B,16,23,14,25,78
10,15/07/2014,2,30,bad,2B,4,7,2,5,18
11,15/07/2014,2,33,good,2B,4,11,2,8,25
12,15/07/2014,2,33,bad,2B,0,2,1,1,4
13,15/07/2014,2,27,good,2B,29,21,11,24,85
14,15/07/2014,2,27,bad,2B,4,4,3,11,22
15,15/07/2014,2,30,good,2B,14,27,4,28,73
16,15/07/2014,2,30,bad,2B,6,15,1,4,26
17,15/07/2014,2,33,good,2B,2,1,1,13,17
18,15/07/2014,2,33,bad,2B,4,4,0,2,10
1,22/07/2014,3,27,good,3C,3,5,19,24,51
2,22/07/2014,3,27,bad,3C,1,7,5,5,18
3,22/07/2014,3,30,good,3C,2,2,2,6,12
4,22/07/2014,3,30,bad,3C,2,7,2,9,20
5,22/07/2014,3,33,good,3C,5,2,1,2,10
6,22/07/2014,3,33,bad,3C,0,0,1,1,2
7,22/07/2014,3,27,good,3C,0,2,6,12,20
8,22/07/2014,3,27,bad,3C,1,5,9,13,28
9,22/07/2014,3,30,good,3C,0,0,4,6,10
10,22/07/2014,3,30,bad,3C,1,1,2,7,11
11,22/07/2014,3,33,good,3C,0,0,0,0,0
12,22/07/2014,3,33,bad,3C,0,0,2,5,7
13,22/07/2014,3,27,good,3C,0,1,5,8,14
14,22/07/2014,3,27,bad,3C,1,0,1,2,4
15,22/07/2014,3,30,good,3C,0,0,2,5,7
16,22/07/2014,3,30,bad,3C,5,3,3,2,13
17,22/07/2014,3,33,good,3C,2,3,1,2,8
18,22/07/2014,3,33,bad,3C,1,0,1,0,2
1,29/07/2014,4,27,good,4A,0,2,6,11,19
2,29/07/2014,4,27,bad,4A,0,0,2,2,4
3,29/07/2014,4,30,good,4A,0,0,0,2,2
4,29/07/2014,4,30,bad,4A,0,2,3,6,11
5,29/07/2014,4,33,good,4A,0,2,1,1,4
6,29/07/2014,4,33,bad,4A,0,0,0,0,0
7,29/07/2014,4,27,good,4A,0,0,0,2,2
8,29/07/2014,4,27,bad,4A,6,4,5,11,26
9,29/07/2014,4,30,good,4A,0,0,1,0,1
10,29/07/2014,4,30,bad,4A,5,1,0,3,9
11,29/07/2014,4,33,good,4A,0,1,0,0,1
12,29/07/2014,4,33,bad,4A,0,0,0,2,2
13,29/07/2014,4,27,good,4A,0,0,0,0,0
14,29/07/2014,4,27,bad,4A,8,4,2,0,14
15,29/07/2014,4,30,good,4A,0,0,0,3,3
16,29/07/2014,4,30,bad,4A,5,5,3,11,24
17,29/07/2014,4,33,good,4A,0,0,0,1,1
18,29/07/2014,4,33,bad,4A,0,0,0,0,0
1,05/08/2014,5,27,good,4A,27,4,5,3,39
2,05/08/2014,5,27,bad,5B,2,2,0,0,4
3,05/08/2014,5,30,good,5B,40,4,2,2,48
4,05/08/2014,5,30,bad,5B,7,1,0,1,9
5,05/08/2014,5,33,good,5B,2,5,6,2,15
6,05/08/2014,5,33,bad,5B,1,0,0,0,1
7,05/08/2014,5,27,good,5B,30,5,1,0,36
8,05/08/2014,5,27,bad,5B,11,7,4,6,28
9,05/08/2014,5,30,good,5B,23,2,0,0,25
10,05/08/2014,5,30,bad,5B,6,1,0,0,7
11,05/08/2014,5,33,good,5B,0,3,0,3,6
12,05/08/2014,5,33,bad,5B,0,2,0,0,2
13,05/08/2014,5,27,good,5B,57,18,1,0,76
