revenue,theaters,weeknum,film,year,days,revperday,cumerev
129490758,3672,1,1,2001,7,18498679.71,129490758
66537204,3672,2,1,2001,7,9505314.857,196027962
28893884,3672,3,1,2001,7,4127697.714,224921846
18428137,3672,4,1,2001,7,2632591,243349983
13653067,3422,5,1,2001,7,1950438.143,257003050
17652364,3311,6,1,2001,7,2521766.286,274655414
19818595,3186,7,1,2001,7,2831227.857,294474009
7163546,2681,8,1,2001,7,1023363.714,301637555
4568975,2170,9,1,2001,7,652710.7143,306206530
3965073,1851,10,1,2001,7,566439,310171603
1754366,1202,11,1,2001,7,250623.7143,311925969
1256736,907,12,1,2001,7,179533.7143,313182705
717464,505,13,1,2001,7,102494.8571,313900169
520822,311,14,1,2001,7,74403.14286,314420991
312561,206,15,1,2001,7,44651.57143,314733552
328675,215,16,1,2001,7,46953.57143,315062227
384470,228,17,1,2001,7,54924.28571,315446697
207138,172,18,1,2001,7,29591.14286,315653835
535333,291,19,1,2001,7,76476.14286,316189168
417067,270,20,1,2001,7,59581,316606235
287211,160,21,1,2001,7,41030.14286,316893446
200056,111,22,1,2001,7,28579.42857,317093502
158953,57,23,1,2001,7,22707.57143,317252455
120697,43,24,1,2001,7,17242.42857,317373152
81681,40,25,1,2001,7,11668.71429,317454833
64603,30,26,1,2001,7,9229,317519436
106131568,3682,1,2,2002,7,15161652.57,106131568
61909948,3682,2,2,2002,7,8844278.286,168041516
35843182,3682,3,2,2002,7,5120454.571,203884698
12410290,3387,4,2,2002,7,1772898.571,216294988
8155284,3025,5,2,2002,7,1165040.571,224450272
9382994,2505,6,2,2002,7,1340427.714,233833266
13611290,2505,7,2,2002,7,1944470,247444556
5596269,2015,8,2,2002,7,799467,253040825
2952291,1550,9,2,2002,7,421755.8571,255993116
2126524,1077,10,2,2002,7,303789.1429,258119640
999984,783,11,2,2002,7,142854.8571,259119624
600496,502,12,2,2002,7,85785.14286,259720120
367816,352,13,2,2002,7,52545.14286,260087936
493167,441,14,2,2002,7,70452.42857,260581103
320518,388,15,2,2002,7,45788.28571,260901621
289329,388,16,2,2002,7,41332.71429,261190950
275902,360,17,2,2002,7,39414.57143,261466852
170722,205,18,2,2002,7,24388.85714,261637574
124142,151,19,2,2002,7,17734.57143,261761716
101239,95,20,2,2002,7,14462.71429,261862955
85795,80,21,2,2002,7,12256.42857,261948750
30884,72,22,2,2002,7,4412,261979634
5504,15,23,2,2002,7,786.2857143,261985138
3187,7,24,2,2002,7,455.2857143,261988325
123064649,3855,1,3,2004,7,17580664.14,123064649
49833138,3855,2,3,2004,7,7119019.714,172897787
27392349,3805,3,3,2004,7,3913192.714,200290136
16888403,3004,4,3,2004,7,2412629,217178539
11564836,2725,5,3,2004,7,1652119.429,228743375
6843259,2002,6,3,2004,7,977608.4286,235586634
4506267,1460,7,3,2004,7,643752.4286,240092901
2828192,1008,8,3,2004,7,404027.4286,242921093
1682873,605,9,3,2004,7,240410.4286,244603966
1188819,409,10,3,2004,7,169831.2857,245792785
754526,310,11,3,2004,7,107789.4286,246547311
565610,248,12,3,2004,7,80801.42857,247112921
669269,391,13,3,2004,7,95609.85714,247782190
633181,391,14,3,2004,7,90454.42857,248415371
269395,321,15,3,2004,7,38485,248684766
209251,228,16,3,2004,7,29893,248894017
175378,246,17,3,2004,7,25054,249069395
81630,164,18,3,2004,7,11661.42857,249151025
63252,119,19,3,2004,7,9036,249214277
62038,74,20,3,2004,7,8862.571429,249276315
50750,55,21,3,2004,7,7250,249327065
40122,55,22,3,2004,7,5731.714286,249367187
146283069,3858,1,4,2005,7,20897581.29,146283069
63105511,3858,2,4,2005,7,9015073,209388580
24415282,3858,3,4,2005,7,3487897.429,233803862
12841945,3325,4,4,2005,7,1834563.571,246645807
10069606,2750,5,4,2005,7,1438515.143,256715413
12732302,2424,6,4,2005,7,1818900.286,269447715
9210399,2316,7,4,2005,7,1315771.286,278658114
3570263,1555,8,4,2005,7,510037.5714,282228377
2421417,1003,9,4,2005,7,345916.7143,284649794
1113115,560,10,4,2005,7,159016.4286,285762909
672823,340,11,4,2005,7,96117.57143,286435732
483679,245,12,4,2005,7,69097,286919411
345936,160,13,4,2005,7,49419.42857,287265347
953519,441,14,4,2005,7,136217,288218866
651862,422,15,4,2005,7,93123.14286,288870728
400384,331,16,4,2005,7,57197.71429,289271112
275304,231,17,4,2005,7,39329.14286,289546416
204586,191,18,4,2005,7,29226.57143,289751002
157211,140,19,4,2005,7,22458.71429,289908213
104823,89,20,4,2005,7,14974.71429,290013036
175355515,4285,1,5,2007,9,19483946.11,175355515
49350614,4285,2,5,2007,7,7050087.714,224706129
26799048,4005,3,5,2007,7,3828435.429,251505177
15110081,3125,4,5,2007,7,2158583,266615258
8490480,2585,5,5,2007,7,1212925.714,275105738
5722784,1955,6,5,2007,7,817540.5714,280828522
3421597,1322,7,5,2007,7,488799.5714,284250119
2919722,1017,8,5,2007,7,417103.1429,287169841
1353013,775,9,5,2007,7,193287.5714,288522854
1004433,589,10,5,2007,7,143490.4286,289527287
418312,320,11,5,2007,7,59758.85714,289945599
289208,241,12,5,2007,7,41315.42857,290234807
