Name,State,Ownership,Citytype,SAT,AvgCost,Admission_rate
Stanford University,CA,Private nonprofit,Suburb,1476,64477,0.0481
Harvard University,MA,Private nonprofit,City,1506,64400,0.054
Yale University,CT,Private nonprofit,City,1502,66445,0.0632
Princeton University,NJ,Private nonprofit,Suburb,1493,61860,0.0652
Columbia University in the City of New York,NY,Private nonprofit,City,1496,69021,0.0683
Massachusetts Institute of Technology,MA,Private nonprofit,City,1519,63250,0.0794
University of Chicago,IL,Private nonprofit,City,1508,70100,0.0794
California Institute of Technology,CA,Private nonprofit,City,1555,63471,0.0807
Brown University,RI,Private nonprofit,City,1459,65380,0.0931
University of Pennsylvania,PA,Private nonprofit,City,1481,66800,0.0944
Dartmouth College,NH,Private nonprofit,Town,1441,67044,0.1059
Northwestern University,IL,Private nonprofit,City,1470,67887,0.1066
Vanderbilt University,TN,Private nonprofit,City,1495,63532,0.1075
Duke University,NC,Private nonprofit,City,1460,67005,0.1083
Johns Hopkins University,MD,Private nonprofit,City,1476,65473,0.1284
Cornell University,NY,Private nonprofit,City,1436,65464,0.1409
Tufts University,MA,Private nonprofit,Suburb,1445,65814,0.1429
Rice University,TX,Private nonprofit,City,1490,58253,0.1527
Washington University in St Louis,MO,Private nonprofit,Suburb,1472,67751,0.1653
University of Southern California,CA,Private nonprofit,City,1395,67064,0.1662
Georgetown University,DC,Private nonprofit,City,1422,66971,0.1685
University of California-Berkeley,CA,Public,City,1422,34924,0.1693
University of California-Los Angeles,CA,Public,City,1334,33078,0.1799
University of Notre Dame,IN,Private nonprofit,Suburb,1474,64775,0.1873
Carnegie Mellon University,PA,Private nonprofit,City,1458,65877,0.2171
Emory University,GA,Private nonprofit,Suburb,1397,63058,0.2529
Tulane University of Louisiana,LA,Private nonprofit,City,1346,64926,0.255
American University,DC,Private nonprofit,City,1262,60501,0.2591
Lehigh University,PA,Private nonprofit,City,1340,60391,0.2611
University of North Carolina at Chapel Hill,NC,Public,City,1338,24327,0.2694
University of Michigan-Ann Arbor,MI,Public,City,1386,27725,0.2859
Northeastern University,MA,Private nonprofit,City,1434,62789,0.2888
Boston University,MA,Private nonprofit,City,1328,65809,0.2943
Howard University,DC,Private nonprofit,City,1142,43116,0.3
Boston College,MA,Private nonprofit,City,1378,65595,0.3114
New York University,NY,Private nonprofit,City,1371,67637,0.3187
Brandeis University,MA,Private nonprofit,City,1377,65954,0.3344
San Diego State University,CA,Public,City,1132,22056,0.3464
Case Western Reserve University,OH,Private nonprofit,City,1408,61371,0.3544
University of California-San Diego,CA,Public,City,1324,31043,0.3566
University of California-Santa Barbara,CA,Public,Suburb,1281,34998,0.3577
College of William and Mary,VA,Public,Suburb,1360,33630,0.3652
Pepperdine University,CA,Private nonprofit,Suburb,1251,66152,0.36870000000000003
University of Tulsa,OK,Private nonprofit,City,1308,53667,0.3696
Texas Christian University,TX,Private nonprofit,City,1223,58040,0.3758
