id,label,pixel,value,x,y
1,0,0,0,1,1
1,0,1,0,2,1
1,0,2,0,3,1
1,0,3,0,4,1
1,0,4,0,5,1
1,0,5,0,6,1
1,0,6,1,7,1
1,0,7,1,8,1
1,0,8,1,9,1
1,0,9,1,10,1
1,0,10,1,11,1
1,0,11,1,12,1
1,0,12,1,13,1
1,0,13,1,14,1
1,0,14,0,15,1
1,0,15,0,16,1
1,0,16,0,1,2
1,0,17,0,2,2
1,0,18,0,3,2
1,0,19,0,4,2
1,0,20,0,5,2
1,0,21,1,6,2
1,0,22,1,7,2
1,0,23,1,8,2
1,0,24,1,9,2
1,0,25,1,10,2
1,0,26,1,11,2
1,0,27,0,12,2
1,0,28,1,13,2
1,0,29,1,14,2
1,0,30,0,15,2
1,0,31,0,16,2
1,0,32,0,1,3
1,0,33,0,2,3
1,0,34,0,3,3
1,0,35,0,4,3
1,0,36,1,5,3
1,0,37,1,6,3
1,0,38,1,7,3
1,0,39,1,8,3
1,0,40,1,9,3
1,0,41,1,10,3
1,0,42,0,11,3
1,0,43,0,12,3
1,0,44,0,13,3
1,0,45,1,14,3
1,0,46,1,15,3
1,0,47,0,16,3
1,0,48,0,1,4
1,0,49,0,2,4
1,0,50,0,3,4
1,0,51,1,4,4
1,0,52,1,5,4
1,0,53,1,6,4
1,0,54,1,7,4
1,0,55,1,8,4
1,0,56,0,9,4
1,0,57,0,10,4
1,0,58,0,11,4
1,0,59,0,12,4
1,0,60,1,13,4
1,0,61,1,14,4
1,0,62,1,15,4
1,0,63,1,16,4
1,0,64,0,1,5
1,0,65,0,2,5
1,0,66,0,3,5
1,0,67,1,4,5
1,0,68,1,5,5
1,0,69,1,6,5
1,0,70,1,7,5
1,0,71,0,8,5
1,0,72,1,9,5
1,0,73,1,10,5
1,0,74,1,11,5
1,0,75,1,12,5
1,0,76,1,13,5
1,0,77,1,14,5
1,0,78,1,15,5
1,0,79,0,16,5
1,0,80,0,1,6
1,0,81,0,2,6
1,0,82,0,3,6
1,0,83,1,4,6
1,0,84,1,5,6
1,0,85,1,6,6
1,0,86,0,7,6
1,0,87,1,8,6
1,0,88,1,9,6
1,0,89,1,10,6
1,0,90,1,11,6
1,0,91,1,12,6
1,0,92,0,13,6
1,0,93,1,14,6
1,0,94,1,15,6
1,0,95,0,16,6
1,0,96,0,1,7
1,0,97,0,2,7
1,0,98,1,3,7
1,0,99,1,4,7
1,0,100,1,5,7
1,0,101,1,6,7
1,0,102,1,7,7
1,0,103,1,8,7
1,0,104,1,9,7
1,0,105,1,10,7
1,0,106,0,11,7
1,0,107,0,12,7
1,0,108,0,13,7
1,0,109,1,14,7
1,0,110,1,15,7
1,0,111,0,16,7
1,0,112,0,1,8
1,0,113,0,2,8
1,0,114,1,3,8
1,0,115,1,4,8
1,0,116,1,5,8
1,0,117,1,6,8
1,0,118,1,7,8
1,0,119,1,8,8
1,0,120,0,9,8
1,0,121,0,10,8
1,0,122,0,11,8
1,0,123,0,12,8
1,0,124,1,13,8
1,0,125,1,14,8
1,0,126,0,15,8
1,0,127,0,16,8
1,0,128,0,1,9
1,0,129,1,2,9
1,0,130,1,3,9
1,0,131,1,4,9
1,0,132,1,5,9
1,0,133,1,6,9
1,0,134,1,7,9
1,0,135,0,8,9
1,0,136,0,9,9
1,0,137,0,10,9
1,0,138,0,11,9
1,0,139,0,12,9
1,0,140,1,13,9
1,0,141,1,14,9
1,0,142,0,15,9
1,0,143,0,16,9
1,0,144,0,1,10
1,0,145,1,2,10
1,0,146,1,3,10
1,0,147,1,4,10
1,0,148,1,5,10
1,0,149,0,6,10
1,0,150,0,7,10
1,0,151,0,8,10
1,0,152,0,9,10
1,0,153,0,10,10
1,0,154,0,11,10
1,0,155,0,12,10
1,0,156,1,13,10
1,0,157,1,14,10
1,0,158,0,15,10
1,0,159,0,16,10
1,0,160,0,1,11
1,0,161,1,2,11
1,0,162,1,3,11
1,0,163,1,4,11
1,0,164,0,5,11
1,0,165,0,6,11
1,0,166,0,7,11
1,0,167,0,8,11
1,0,168,0,9,11
1,0,169,0,10,11
1,0,170,1,11,11
1,0,171,1,12,11
1,0,172,1,13,11
1,0,173,0,14,11
1,0,174,0,15,11
1,0,175,0,16,11
1,0,176,1,1,12
1,0,177,1,2,12
1,0,178,1,3,12
1,0,179,0,4,12
1,0,180,0,5,12
1,0,181,0,6,12
1,0,182,0,7,12
1,0,183,0,8,12
1,0,184,0,9,12
1,0,185,0,10,12
1,0,186,1,11,12
1,0,187,1,12,12
1,0,188,0,13,12
1,0,189,0,14,12
1,0,190,0,15,12
1,0,191,0,16,12
1,0,192,1,1,13
1,0,193,1,2,13
1,0,194,1,3,13
1,0,195,1,4,13
1,0,196,0,5,13
1,0,197,0,6,13
1,0,198,0,7,13
1,0,199,0,8,13
1,0,200,1,9,13
1,0,201,1,10,13
1,0,202,1,11,13
1,0,203,1,12,13
1,0,204,0,13,13
1,0,205,0,14,13
1,0,206,0,15,13
1,0,207,0,16,13
1,0,208,1,1,14
1,0,209,1,2,14
1,0,210,1,3,14
1,0,211,1,4,14
1,0,212,0,5,14
1,0,213,0,6,14
1,0,214,0,7,14
1,0,215,1,8,14
1,0,216,1,9,14
1,0,217,1,10,14
1,0,218,0,11,14
1,0,219,0,12,14
1,0,220,0,13,14
1,0,221,0,14,14
1,0,222,0,15,14
1,0,223,0,16,14
1,0,224,1,1,15
1,0,225,0,2,15
1,0,226,1,3,15
1,0,227,1,4,15
1,0,228,1,5,15
1,0,229,1,6,15
1,0,230,1,7,15
1,0,231,1,8,15
1,0,232,1,9,15
1,0,233,0,10,15
1,0,234,0,11,15
1,0,235,0,12,15
1,0,236,0,13,15
1,0,237,0,14,15
1,0,238,0,15,15
1,0,239,0,16,15
1,0,240,0,1,16
1,0,241,0,2,16
1,0,242,0,3,16
1,0,243,1,4,16
1,0,244,1,5,16
1,0,245,1,6,16
1,0,246,1,7,16
1,0,247,0,8,16
1,0,248,0,9,16
1,0,249,0,10,16
1,0,250,0,11,16
1,0,251,0,12,16
1,0,252,0,13,16
1,0,253,0,14,16
1,0,254,0,15,16
1,0,255,0,16,16
2,0,0,0,1,1
2,0,1,0,2,1
2,0,2,0,3,1
2,0,3,0,4,1
2,0,4,0,5,1
2,0,5,1,6,1
2,0,6,1,7,1
2,0,7,1,8,1
2,0,8,1,9,1
2,0,9,1,10,1
2,0,10,1,11,1
2,0,11,1,12,1
2,0,12,1,13,1
2,0,13,0,14,1
2,0,14,0,15,1
2,0,15,0,16,1
2,0,16,0,1,2
2,0,17,0,2,2
2,0,18,0,3,2
2,0,19,1,4,2
2,0,20,1,5,2
2,0,21,1,6,2
2,0,22,1,7,2
2,0,23,0,8,2
2,0,24,0,9,2
2,0,25,0,10,2
2,0,26,0,11,2
2,0,27,0,12,2
2,0,28,1,13,2
2,0,29,1,14,2
2,0,30,0,15,2
2,0,31,0,16,2
2,0,32,0,1,3
2,0,33,0,2,3
2,0,34,1,3,3
2,0,35,1,4,3
2,0,36,1,5,3
2,0,37,1,6,3
2,0,38,1,7,3
2,0,39,0,8,3
2,0,40,0,9,3
2,0,41,0,10,3
2,0,42,0,11,3
2,0,43,0,12,3
2,0,44,1,13,3
2,0,45,1,14,3
2,0,46,1,15,3
2,0,47,0,16,3
2,0,48,0,1,4
2,0,49,1,2,4
2,0,50,1,3,4
2,0,51,1,4,4
2,0,52,0,5,4
2,0,53,0,6,4
2,0,54,0,7,4
2,0,55,0,8,4
2,0,56,0,9,4
2,0,57,0,10,4
2,0,58,0,11,4
2,0,59,0,12,4
2,0,60,0,13,4
2,0,61,1,14,4
2,0,62,1,15,4
2,0,63,1,16,4
2,0,64,1,1,5
2,0,65,1,2,5
2,0,66,1,3,5
2,0,67,0,4,5
2,0,68,0,5,5
2,0,69,0,6,5
2,0,70,0,7,5
2,0,71,0,8,5
2,0,72,0,9,5
2,0,73,0,10,5
2,0,74,0,11,5
2,0,75,0,12,5
2,0,76,0,13,5
2,0,77,0,14,5
2,0,78,1,15,5
2,0,79,1,16,5
2,0,80,1,1,6
2,0,81,1,2,6
2,0,82,1,3,6
2,0,83,0,4,6
2,0,84,0,5,6
2,0,85,0,6,6
2,0,86,0,7,6
2,0,87,0,8,6
2,0,88,0,9,6
2,0,89,0,10,6
2,0,90,0,11,6
2,0,91,0,12,6
2,0,92,0,13,6
2,0,93,0,14,6
2,0,94,1,15,6
2,0,95,1,16,6
2,0,96,1,1,7
2,0,97,1,2,7
2,0,98,0,3,7
2,0,99,0,4,7
2,0,100,0,5,7
2,0,101,0,6,7
2,0,102,0,7,7
2,0,103,0,8,7
2,0,104,0,9,7
2,0,105,0,10,7
2,0,106,0,11,7
2,0,107,0,12,7
2,0,108,0,13,7
2,0,109,0,14,7
2,0,110,1,15,7
2,0,111,1,16,7
2,0,112,1,1,8
2,0,113,1,2,8
2,0,114,0,3,8
2,0,115,0,4,8
2,0,116,0,5,8
2,0,117,0,6,8
2,0,118,0,7,8
2,0,119,0,8,8
2,0,120,0,9,8
2,0,121,0,10,8
2,0,122,0,11,8
2,0,123,0,12,8
2,0,124,0,13,8
2,0,125,0,14,8
2,0,126,1,15,8
2,0,127,1,16,8
2,0,128,1,1,9
2,0,129,1,2,9
2,0,130,0,3,9
2,0,131,0,4,9
2,0,132,0,5,9
2,0,133,0,6,9
2,0,134,0,7,9
2,0,135,0,8,9
2,0,136,0,9,9
2,0,137,0,10,9
2,0,138,0,11,9
2,0,139,0,12,9
2,0,140,0,13,9
2,0,141,0,14,9
2,0,142,1,15,9
2,0,143,1,16,9
2,0,144,1,1,10
2,0,145,1,2,10
2,0,146,0,3,10
2,0,147,0,4,10
2,0,148,0,5,10
2,0,149,0,6,10
2,0,150,0,7,10
2,0,151,0,8,10
2,0,152,0,9,10
2,0,153,0,10,10
2,0,154,0,11,10
2,0,155,0,12,10
2,0,156,0,13,10
2,0,157,0,14,10
2,0,158,1,15,10
2,0,159,1,16,10
2,0,160,1,1,11
2,0,161,1,2,11
2,0,162,0,3,11
2,0,163,0,4,11
2,0,164,0,5,11
2,0,165,0,6,11
2,0,166,0,7,11
2,0,167,0,8,11
2,0,168,0,9,11
2,0,169,0,10,11
2,0,170,0,11,11
2,0,171,0,12,11
2,0,172,0,13,11
2,0,173,1,14,11
2,0,174,1,15,11
2,0,175,1,16,11
2,0,176,1,1,12
2,0,177,1,2,12
2,0,178,0,3,12
2,0,179,0,4,12
2,0,180,0,5,12
2,0,181,0,6,12
2,0,182,0,7,12
2,0,183,0,8,12
2,0,184,0,9,12
2,0,185,0,10,12
2,0,186,0,11,12
2,0,187,0,12,12
2,0,188,0,13,12
2,0,189,1,14,12
2,0,190,1,15,12
2,0,191,0,16,12
2,0,192,1,1,13
2,0,193,1,2,13
2,0,194,1,3,13
2,0,195,0,4,13
2,0,196,0,5,13
2,0,197,0,6,13
2,0,198,0,7,13
