"","Gene ID","Gene Name","A2058","A375","C32","Malme3M","SKMEL28","SKMEL5","WM2664"
"1","ENSG00000000003","TSPAN6",26,27,8,27,30,48,36
"2","ENSG00000000419","DPM1",186,417,220,149,266,128,146
"3","ENSG00000000457","SCYL3",11,13,6,8,6,5,7
"4","ENSG00000000460","C1orf112",25,23,8,13,25,4,14
"5","ENSG00000000938","FGR",0,0,0,20,0,0,0
"6","ENSG00000000971","CFH",15,1,3,2,0.1,0.9,2
"7","ENSG00000001036","FUCA2",223,53,149,85,148,78,160
"8","ENSG00000001084","GCLC",23,26,23,17,20,21,12
"9","ENSG00000001167","NFYA",70,60,63,51,47,39,41
"10","ENSG00000001460","STPG1",11,12,14,6,11,3,10
"11","ENSG00000001461","NIPAL3",77,98,50,35,78,29,75
"12","ENSG00000001497","LAS1L",37,54,32,29,39,31,42
"13","ENSG00000001561","ENPP4",0,7,0,0,4,2,0
"14","ENSG00000001617","SEMA3F",1,2,0.1,1,0.2,2,0.3
"15","ENSG00000001626","CFTR",0.1,0.1,1,0.2,0.1,0.7,0.3
"16","ENSG00000001629","ANKIB1",85,97,113,117,61,61,119
"17","ENSG00000001630","CYP51A1",18,3,38,11,6,13,15
"18","ENSG00000001631","KRIT1",38,39,40,63,32,38,57
"19","ENSG00000002016","RAD52",8,11,7,12,8,14,4
"20","ENSG00000002079","MYH16",0.1,0.4,0,0,0,0.1,0.2
"21","ENSG00000002330","BAD",39,33,35,17,10,8,34
"22","ENSG00000002549","LAP3",79,100,77,107,70,61,76
"23","ENSG00000002586","CD99",255,30,237,751,300,151,332
"24","ENSG00000002587","HS3ST1",4,1,0.3,0.3,1,0.5,3
"25","ENSG00000002726","AOC1",0,0.1,0.1,0.6,0,0.3,0
"26","ENSG00000002745","WNT16",0.4,1,0.1,0.1,0.1,0.1,0.4
"27","ENSG00000002746","HECW1",0,1,0,0.1,0,0,0.1
"28","ENSG00000002822","MAD1L1",29,14,26,46,57,20,37
"29","ENSG00000002834","LASP1",174,81,118,210,97,40,107
"30","ENSG00000002919","SNX11",38,25,26,25,27,24,34
"31","ENSG00000002933","TMEM176A",0.1,0.2,0.2,1,0,0.2,0.1
"32","ENSG00000003056","M6PR",190,192,102,157,161,231,108
"33","ENSG00000003096","KLHL13",9,5,0.8,0.1,3,3,0
"34","ENSG00000003137","CYP26B1",0.1,2,9,2,0.4,4,0.4
"35","ENSG00000003147","ICA1",7,13,0.5,0.2,3,2,15
"36","ENSG00000003249","DBNDD1",46,38,26,60,27,33,47
"37","ENSG00000003393","ALS2",22,14,44,30,35,17,23
"38","ENSG00000003400","CASP10",4,3,1,8,2,4,4
"39","ENSG00000003402","CFLAR",7,4,12,12,5,8,10
"40","ENSG00000003436","TFPI",9,3,2,0.7,1,7,2
"41","ENSG00000003509","NDUFAF7",19,38,14,15,25,25,16
"42","ENSG00000003756","RBM5",29,28,34,29,20,26,27
"43","ENSG00000003987","MTMR7",1,1,1,0.7,0.5,0.4,1
"44","ENSG00000003989","SLC7A2",93,17,3,14,27,19,4
"45","ENSG00000004059","ARF5",142,131,156,246,76,110,193
"46","ENSG00000004139","SARM1",3,7,2,2,3,2,5
"47","ENSG00000004142","POLDIP2",279,385,153,229,202,193,231
"48","ENSG00000004399","PLXND1",29,16,33,234,4,18,30
"49","ENSG00000004455","AK2",132,187,113,61,215,95,119
"50","ENSG00000004468","CD38",0.4,0.1,0.1,0.2,0,0.6,0.7
"51","ENSG00000004478","FKBP4",139,159,94,91,86,87,50
"52","ENSG00000004487","KDM1A",106,163,69,80,196,73,94
"53","ENSG00000004534","RBM6",44,56,39,57,30,34,40
"54","ENSG00000004660","CAMKK1",2,1,2,10,2,4,1
"55","ENSG00000004700","RECQL",91,147,82,76,99,64,73
"56","ENSG00000004766","VPS50",16,12,34,32,18,18,19
"57","ENSG00000004776","HSPB6",0.3,1,1,7,0.1,0.1,0.6
"58","ENSG00000004777","ARHGAP33",9,2,6,4,5,1,7
"59","ENSG00000004779","NDUFAB1",203,249,140,127,204,111,116
"60","ENSG00000004799","PDK4",154,121,0.1,68,0.4,412,0.3
"61","ENSG00000004809","SLC22A16",0,0.1,0.3,0.1,0.1,0,0.2
"62","ENSG00000004838","ZMYND10",0.8,1,1,2,3,0.2,1
"63","ENSG00000004846","ABCB5",2,0.1,0.2,23,42,9,27
